Name,Converter station 1,Converter station 2,Total Length (Cable/Pole) (km),Nominal  Voltage  (kV),Power (MW),Year,Type,Remarks,Ref,x1,y1,x2,y2
StoreBælt,Denmark - Fraugde 55°22′01″N 10°30′25″E﻿ / ﻿55.36694°N 10.50694°E,Denmark - Herslev 55°31′53″N 11°19′01″E﻿ / ﻿55.53139°N 11.31694°E,56 (56/0),400,600,2010,Thyr,Operational since August 2010. Supplier: Siemens,[53],10.50694444,55.36694444,11.31694444,55.53138889
Cometa,Spain - Morvedre 39°38′28″N 0°14′7″W﻿ / ﻿39.64111°N 0.23528°W,Spain - Santa Ponsa 39°32′2″N 2°30′21″E﻿ / ﻿39.53389°N 2.50583°E,247 (247/0),250,400,2011,Thyr,Expected completion 2011 Supplier: Siemens (converter stations); Prysmian/Nexans (cables),[53],-0.235277778,39.64111111,2.505833333,39.53388889
Fenno-Skan 2,Finland - Rauma 61°09′07″N 21°37′32″E﻿ / ﻿61.15194°N 21.62556°E,Sweden - Finnbole 60°25′30″N 17°3′42″E﻿ / ﻿60.42500°N 17.06167°E,303 (200/103),500,800,2011,Thyr,,,21.62555556,61.15194444,17.06166667,60.425
SAPEI,Italy - Latina 41°25′47″N 12°48′25″E﻿ / ﻿41.42972°N 12.80694°E,Italy - Fiume Santo 40°50′29″N 8°18′21″E﻿ / ﻿40.84139°N 8.30583°E,435 (435/0),500,1000,2011,Thyr,The largest HVDC link in the Mediterranean Sea. Supplier: ABB,[53][57][58],12.80694444,41.42972222,8.305833333,40.84138889
East West Interconnector,Ireland - Woodland 53°28′16″N 6°34′3″W﻿ / ﻿53.47111°N 6.56750°W,"UK - Shotton, Wales 53°13′38″N 3°4′22″W﻿ / ﻿53.22722°N 3.07278°W",130 (130/0),±200,500,2012,IGBT,Supplier: ABB,[64],-6.5675,53.47111111,-3.072777778,53.22722222
Estlink 2,Finland - Anttila 60°22′36″N 25°22′01″E﻿ / ﻿60.37667°N 25.36694°E,Estonia - Püssi 59°22′13″N 27°04′05″E﻿ / ﻿59.37028°N 27.06806°E,171 (157/14),450,650,2014,Thyr,"Supplier: Siemens, Nexans",,25.36694444,60.37666667,27.06805556,59.37027778
BorWin2,Germany - Diele 53°7′30″N 7°18′29″E﻿ / ﻿53.12500°N 7.30806°E,Germany - BorWin Beta platform 54°21′18″N 6°01′30″E﻿ / ﻿54.35500°N 6.02500°E,200 (200/0),±300,800,2015,IGBT,Supplier: Siemens,[71],7.308055556,53.125,6.025,54.355
DolWin1,Germany - Heede 52°58′57″N 7°15′26″E﻿ / ﻿52.98250°N 7.25722°E,Germany - DolWin Alpha platform 53°59′42″N 6°25′16″E﻿ / ﻿53.99500°N 6.42111°E,165 (165/0),±320,800,2015,IGBT,Supplier:ABB,[72],7.257222222,52.9825,6.421111111,53.995
HelWin1,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - HelWin Alpha platform 54°27′07″N 7°44′20″E﻿ / ﻿54.45194°N 7.73889°E,130 (130/0),±250,576,2015,IGBT,Supplier: Siemens,[73],9.231944444,53.91694444,7.738888889,54.45194444
HelWin2,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - HelWin Beta platform 54°27′11″N 7°44′20″E﻿ / ﻿54.45306°N 7.73889°E,130 (130/0),±320,690,2015,IGBT,Supplier: Siemens,,9.231944444,53.91694444,7.738888889,54.45305556
INELFE,France - Baixas 42°43′56″N 2°48′14″E﻿ / ﻿42.73222°N 2.80389°E,Spain - Santa Llogaia 42°13′59″N 2°56′39″E﻿ / ﻿42.23306°N 2.94417°E,64 (64/0),±320,2000,2015,IGBT,"Supplier: Siemens, Cables: Prysmian. €700m, 8 km tunnel near HSR",[74] [75][76][77],2.803888889,42.73222222,2.944166667,42.23305556
NordBalt,Sweden - Nybro 56°46′4″N 15°51′15″E﻿ / ﻿56.76778°N 15.85417°E,Lithuania - Klaipėda 55°40′54″N 21°15′24″E﻿ / ﻿55.68167°N 21.25667°E,450 (450/0),300,700,2015,IGBT,Supplier: ABB,[82],15.85416667,56.76777778,21.25666667,55.68166667
Skagerrak 4,Denmark - Tjele 56°28′44″N 9°34′1″E﻿ / ﻿56.47889°N 9.56694°E,Norway - Kristiansand 58°15′36″N 7°53′55″E﻿ / ﻿58.26000°N 7.89861°E,244 (244/0),500,700,2015,IGBT,"Suppliers: Nexans, ABB",[83],9.566944444,56.47888889,7.898611111,58.26
SylWin1,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - SylWin Alpha platform 55°03′47″N 7°14′28″E﻿ / ﻿55.06306°N 7.24111°E,205 (205/0),±320,864,2015,IGBT,Supplier: Siemens,[84],9.231944444,53.91694444,7.241111111,55.06305556
DolWin2,Germany - Heede 52°58′52″N 7°15′26″E﻿ / ﻿52.98111°N 7.25722°E,Germany - DolWin Beta platform 53°58′41″N 6°55′23″E﻿ / ﻿53.97806°N 6.92306°E,135 (135/0),±320,900,2016,IGBT,Supplier: ABB,[91],7.257222222,52.98111111,6.923055556,53.97805556
SydVästlänken,Sweden - Barkeryd 57°44′52″N 14°39′19″E﻿ / ﻿57.74778°N 14.65528°E,Sweden - Hurva 55°49′59″N 13°36′08″E﻿ / ﻿55.83306°N 13.60222°E,260 (197/63),±300,,2021,IGBT,Supplier: Alstom,,14.65527778,57.74777778,13.60222222,55.83305556
DolWin3,Germany - Heede 52°58′57″N 7°15′26″E﻿ / ﻿52.98250°N 7.25722°E,Germany - DolWin Gamma platform 53°59′42″N 6°25′16″E﻿ / ﻿53.99500°N 6.42111°E,160 (160/0),±320,900,2017,IGBT,Supplier: Alstom,[92],7.257222222,52.9825,6.421111111,53.995
HVDC MON.ITA Project,Italy-Cepagatti 42°23′41″N 14°07′30″E﻿ / ﻿42.39472°N 14.12500°E,Montenegro - Lastva Grbaljska 42°19′03″N 18°47′41″E﻿ / ﻿42.31750°N 18.79472°E,415 (415/0),±500,1000,2019,Thyr,Supplier: Toshiba (converter stations); Nexans (cables).,[93][94][95],14.125,42.39472222,18.79472222,42.3175
Western HVDC Link,UK - Hunterston 55°43′16″N 4°53′7″W﻿ / ﻿55.72111°N 4.88528°W,UK - Flintshire Bridge 53°13′54″N 3°1′58″W﻿ / ﻿53.23167°N 3.03278°W,422 (422/0),600,2200,2017-18,Thyr,"Supplier: Prysmian Group, Siemens First subsea 600kV link",[96][97],-4.885277778,55.72111111,-3.032777778,53.23166667
Caithness - Moray Link3,UK - Spittal 58°28′47″N 3°27′08″W﻿ / ﻿58.47972°N 3.45222°W,UK - Blackhillock 57°31′24″N 2°56′55″W﻿ / ﻿57.52333°N 2.94861°W,160,320,1200,2018,IGBT,Supplier: ABB,[98][99],-3.452222222,58.47972222,-2.948611111,57.52333333
COBRAcable,Denmark - Endrup via Fanø 55°31′49″N 8°42′13″E﻿ / ﻿55.53028°N 8.70361°E,Netherlands - Eemshaven 53°26′07″N 6°52′02″E﻿ / ﻿53.43528°N 6.86722°E,325,±320,700,20194,IGBT,"Suppliers: Siemens, Prysmian, Cost € 449m",[100][101][102][103][104],8.703611111,55.53027778,6.867222222,53.43527778
NORD.LINK,Norway - Tonstad 58°40′07″N 6°45′16″E﻿ / ﻿58.66861°N 6.75444°E,Germany - Wilster 53°55′18″N 9°20′41″E﻿ / ﻿53.92167°N 9.34472°E,623 (570/53),525,1400,2021,IGBT,Supplier: ABB,[126],6.754444444,58.66861111,9.344722222,53.92166667
North Sea Link,Norway - Kvilldal,UK - Blyth,730 (730/0),515,1400,2021,IGBT,"Supplier: ABB, Prysmian Group, Nexans, MACH 3 Control & Protection",[127][128][129][130],6.648102,59.59971,-1.60812,55.178868
